Time	Voltage (V)	Current (A)
2021-03-18T18:50:01.212115	-6.58e-05	-0.000117
2021-03-18T18:50:01.499375	-6.66e-05	-0.000168
2021-03-18T18:50:01.786635	-6.79e-05	-0.000236
2021-03-18T18:50:02.073894	-6.66e-05	-0.000216
2021-03-18T18:50:02.361153	-6.7e-05	0.000118
2021-03-18T18:50:02.648413	-6.87e-05	-0.000326
2021-03-18T18:50:02.935672	-6.66e-05	-0.000483
2021-03-18T18:50:03.222931	-6.22e-05	-0.000236
2021-03-18T18:50:03.510190	-6.75e-05	-0.000133
2021-03-18T18:50:03.797450	-6.83e-05	0.000173
2021-03-18T18:50:04.084709	-6.56e-05	-8.76e-05
2021-03-18T18:50:04.371968	-6.39e-05	0.000163
2021-03-18T18:50:04.659228	-6.52e-05	-0.00022
2021-03-18T18:50:04.946487	-6.62e-05	8.62e-05
2021-03-18T18:50:05.233746	-6.52e-05	-0.000297
2021-03-18T18:50:05.521006	-6.6e-05	4.44e-05
2021-03-18T18:50:05.808265	-6.54e-05	-1.36e-05
2021-03-18T18:50:06.095524	-6.5e-05	-7.15e-05
2021-03-18T18:50:06.382784	-6.79e-05	3.79e-05
2021-03-18T18:50:06.669042	-6.75e-05	6.69e-05
2021-03-18T18:50:06.956302	-6.48e-05	-0.000467
2021-03-18T18:50:07.244565	-6.62e-05	-0.000213
2021-03-18T18:50:07.531821	-6.56e-05	-0.000377
2021-03-18T18:50:07.818080	-6.56e-05	-0.000239
2021-03-18T18:50:08.105339	-6.87e-05	9.27e-05
2021-03-18T18:50:08.392599	-6.7e-05	-0.000503
2021-03-18T18:50:08.679858	-6.33e-05	6.69e-05
2021-03-18T18:50:08.967118	-6.35e-05	-0.000435
2021-03-18T18:50:09.254377	-6.45e-05	-0.000203
2021-03-18T18:50:09.541636	-6.66e-05	6.05e-05
2021-03-18T18:50:09.828895	-6.31e-05	2.83e-05
2021-03-18T18:50:10.116155	-6.6e-05	-0.000207
2021-03-18T18:50:10.403415	-6.33e-05	-0.000335
2021-03-18T18:50:10.690674	-6.62e-05	-5.86e-05
2021-03-18T18:50:10.977932	4.82	-2.97e-05
2021-03-18T18:50:11.265193	4.92	0.215
2021-03-18T18:50:11.552452	4.95	0.213
2021-03-18T18:50:11.839711	4.96	0.21
2021-03-18T18:50:12.126970	4.96	0.209
2021-03-18T18:50:12.414229	4.95	0.209
2021-03-18T18:50:12.701489	4.95	0.209
2021-03-18T18:50:12.988748	4.93	0.209
2021-03-18T18:50:13.276007	4.93	0.209
2021-03-18T18:50:13.563267	4.92	0.209
2021-03-18T18:50:13.850526	4.92	0.209
2021-03-18T18:50:14.137786	4.92	0.209
2021-03-18T18:50:14.425045	4.91	0.209
2021-03-18T18:50:14.712305	4.91	0.209
2021-03-18T18:50:14.999564	4.9	0.209
