Time	Voltage (V)	Current (A)
2021-03-25T17:07:21.313348	-5.14e-05	0.00395
2021-03-25T17:07:21.600607	-5.34e-05	-0.00782
2021-03-25T17:07:21.887867	-5.51e-05	-0.00164
2021-03-25T17:07:22.175126	-5.11e-05	0.00545
2021-03-25T17:07:22.462385	-5.41e-05	-0.00372
2021-03-25T17:07:22.749645	-5.24e-05	-0.00567
2021-03-25T17:07:23.036904	-5.45e-05	-1.38e-05
2021-03-25T17:07:23.323163	-5.51e-05	-0.00827
2021-03-25T17:07:23.610422	-5.24e-05	0.000571
2021-03-25T17:07:23.897681	-5.47e-05	-0.00105
2021-03-25T17:07:24.184940	-5.43e-05	-0.00567
2021-03-25T17:07:24.472200	-5.49e-05	-0.00723
2021-03-25T17:07:24.759461	-5.07e-05	0.00389
2021-03-25T17:07:25.046718	-5.22e-05	-0.0017
2021-03-25T17:07:25.333979	4.81	-0.000729
2021-03-25T17:07:25.621237	4.28	3.75
2021-03-25T17:07:25.908497	4.23	4.78
2021-03-25T17:07:26.194754	4.25	4.75
2021-03-25T17:07:26.482014	4.36	4.78
2021-03-25T17:07:26.769273	4.4	4.51
2021-03-25T17:07:27.056533	4.39	4.65
2021-03-25T17:07:27.343793	4.36	4.65
2021-03-25T17:07:27.631053	4.34	4.7
2021-03-25T17:07:27.918312	5.02	4.68
2021-03-25T17:07:28.204569	5.02	3.85
2021-03-25T17:07:28.491829	5.02	3.85
2021-03-25T17:07:28.779088	5.02	3.85
2021-03-25T17:07:29.066348	5.02	3.85
2021-03-25T17:07:29.353620	5.01	3.85
2021-03-25T17:07:29.640866	5.01	3.84
2021-03-25T17:07:29.928136	5.01	3.84
2021-03-25T17:07:30.215385	5.01	3.84
2021-03-25T17:07:30.502645	5.01	3.84
2021-03-25T17:07:30.789903	5	3.84
2021-03-25T17:07:31.076162	5	3.84
2021-03-25T17:07:31.363422	5	3.84
2021-03-25T17:07:31.650681	4.99	3.84
2021-03-25T17:07:31.937940	4.25	4.75
2021-03-25T17:07:32.225199	4.24	4.79
2021-03-25T17:07:32.512460	4.24	4.78
2021-03-25T17:07:32.799718	4.26	4.78
2021-03-25T17:07:33.085976	4.27	4.72
2021-03-25T17:07:33.373236	4.27	4.73
2021-03-25T17:07:33.660496	4.27	4.74
2021-03-25T17:07:33.947754	4.25	4.81
2021-03-25T17:07:34.235014	4.25	4.76
2021-03-25T17:07:34.522274	4.2	4.81
2021-03-25T17:07:34.809543	4.2	4.81
2021-03-25T17:07:35.096807	4.19	4.81
2021-03-25T17:07:35.384052	4.13	4.83
2021-03-25T17:07:35.670310	2.66	5.07
2021-03-25T17:07:35.957569	5.32	6.73
2021-03-25T17:07:36.244829	8.04	-0.000144
2021-03-25T17:07:36.532088	8.04	0.00161
2021-03-25T17:07:36.819348	8.05	-0.00379
2021-03-25T17:07:37.106607	8.05	-1.38e-05
2021-03-25T17:07:37.393866	8.06	0.00129
2021-03-25T17:07:37.681126	8.06	-0.00483
2021-03-25T17:07:37.968385	8.06	-0.00749
2021-03-25T17:07:38.254643	8.06	-0.000729
2021-03-25T17:07:38.541903	8.07	-0.00125
2021-03-25T17:07:38.829162	8.07	0.00298
2021-03-25T17:07:39.116422	8.07	-0.00652
2021-03-25T17:07:39.403681	8.07	-0.0017
2021-03-25T17:07:39.690953	8.07	-0.000729
2021-03-25T17:07:39.978200	8.08	-0.00762
2021-03-25T17:07:40.265459	8.08	-0.00892
2021-03-25T17:07:40.551717	8.08	0.00168
2021-03-25T17:07:40.838978	8.08	-0.00489
2021-03-25T17:07:41.126236	8.08	-0.00372
2021-03-25T17:07:41.413496	8.08	0.00421
2021-03-25T17:07:41.700755	8.08	0.000376
2021-03-25T17:07:41.988014	8.08	-0.00561
2021-03-25T17:07:42.275281	8.08	-0.00112
2021-03-25T17:07:42.562534	8.09	-0.00541
2021-03-25T17:07:42.849793	8.09	-0.00483
2021-03-25T17:07:43.136051	8.09	-0.00554
2021-03-25T17:07:43.423310	8.09	0.000571
2021-03-25T17:07:43.710569	8.09	0.00285
2021-03-25T17:07:43.997829	8.09	-0.00814
2021-03-25T17:07:44.285087	8.09	-0.000209
2021-03-25T17:07:44.572348	8.09	-0.00209
2021-03-25T17:07:44.859614	8.09	0.000441
2021-03-25T17:07:45.146879	8.09	-0.00326
2021-03-25T17:07:45.433125	8.09	0.00402
2021-03-25T17:07:45.720383	8.09	-0.00723
2021-03-25T17:07:46.007643	8.09	0.000311
2021-03-25T17:07:46.294902	8.09	-0.00242
2021-03-25T17:07:46.582162	8.1	-0.00606
2021-03-25T17:07:46.869421	8.1	-0.00697
2021-03-25T17:07:47.156681	8.1	-0.000794
2021-03-25T17:07:47.443941	8.1	0.00642
2021-03-25T17:07:47.731200	8.1	-0.00183
2021-03-25T17:07:48.017457	8.1	0.00304
2021-03-25T17:07:48.304717	8.1	-0.00684
2021-03-25T17:07:48.591976	8.1	-0.00697
2021-03-25T17:07:48.879236	8.1	0.00506
2021-03-25T17:07:49.166495	8.1	0.00122
2021-03-25T17:07:49.453768	8.1	-0.000469
2021-03-25T17:07:49.741014	8.1	-0.0107
2021-03-25T17:07:50.028281	8.1	-0.00216
2021-03-25T17:07:50.314534	8.1	-0.00756
2021-03-25T17:07:50.602792	8.1	-0.00372
2021-03-25T17:07:50.889050	8.1	0.000571
2021-03-25T17:07:51.176309	8.1	-0.00287
